"id","nome","municipio","uf","responsabilidade","logradouro","termo_convenio","problema_detectado"
"1017112","EEI JARDIM ELDORADO II - Caxias do Sul - RS","Caxias do Sul","RS","Municipal","rua cândida tomasi rossa","10831/2014","atrasada"
"1017179","EEI PAIQUERÊ - Caxias do Sul - RS","Caxias do Sul","RS","Municipal","rua adelar moschen","10784/2014","atrasada"
"1017180","EEI BELA VISTA - Caxias do Sul - RS","Caxias do Sul","RS","Municipal","rua professor jerônimo ferreira porto","10784/2014","atrasada"
"1017181","EEI LUXOR - Caxias do Sul - RS","Caxias do Sul","RS","Municipal","rua dos cesteiros","10784/2014","atrasada"
"1002911","ZONA RURAL-CARREIRAS - Caxingó - PI","Caxingó","PI","Municipal","povoado carreiras","17583/2014","atrasada"
"24637","PAC 2 - CRECHE/PRÉ-ESCOLA MCMV  002","Ceará-Mirim","RN","Municipal",NA,"3037/2012","sem endereço"
"1012614","Creche Alto do Padeiro - Cedro - CE","Cedro","CE","Municipal","rua chiquinho carteiro","8748/2014","atrasada"
"8801","656403 - Esc. Educ. Infantil - Tipo B - CENTENARIO/TO","Centenário","TO","Municipal",NA,"656403/2009","paralisada; sem endereço"
"1010862","Fazenda Palmeira","Centenário do Sul","PR","Municipal","rodovia fuad nacli","22358/2014","paralisada"
"1014110","Chácara Cofercatu - Centenário do Sul - PR","Centenário do Sul","PR","Municipal","rua nicesio ferreira martins","32382/2014","paralisada"
"5572","700255 - Espaço Educativo Urbano II - 04 Salas  -  - Construção - Central/BA","Central","BA","Municipal","praça do mercado","","paralisada"
"8703","656825 - Esc. Educ. Infantil - Tipo B -  - Construção - CENTRAL /BA","Central","BA","Municipal",NA,"656825/2009","paralisada; sem endereço"
"1009463","Escola Muncipal Manoel Lourenço da Rocha - Central - BA","Central","BA","Municipal","povoado  de traíras","19622/2014","atrasada"
"1013289","CRECHE POVOADO CHEGA TUDO","Centro Novo do Maranhão","MA","Municipal","rua do mariano","9820/2014","paralisada"
"1017654","E.M POV. BARREIRA VERMELHA - Centro Novo do Maranhão - MA","Centro Novo do Maranhão","MA","Municipal","rua principal","32068/2014","paralisada"
"1017655","E.M. POVOADO QUADRA 4 - Centro Novo do Maranhão - MA","Centro Novo do Maranhão","MA","Municipal","rua projetada","32068/2014","atrasada"
"1010425","Bairro dos Bento - Cerro Azul - PR","Cerro Azul","PR","Municipal","estrada principal bairro dos bento","22359/2014","paralisada"
"1015364","Morro Grande - Cerro Azul - PR","Cerro Azul","PR","Municipal","estrada de tunas","31447/2014","paralisada"
"1016302","TERRENO URBANO DA ESCRITURA PÚBLICA Nº 8.015 - Cerro Grande - RS","Cerro Grande","RS","Municipal","rua vinte de setembro","32613/2014","atrasada"
"1004907","PAC 2 - CRECHE/PRÉ-ESCOLA  001 - Chã Grande - PE","Chã Grande","PE","Municipal","rua josé pereira lins","6461/2013","paralisada"
"1005606","Creche Princesa dos Montes","Chã Preta","AL","Municipal","rua aureliano teixeira","6987/2013","paralisada"
"31260","Construção do Auditório Escolar","Chácara","MG","Municipal","rua coronel onofre augusto de paula","15855/2014","paralisada"
"11846","702447 - Esc. Educ. Infantil   Tipo B  - Proinfância - Construção - CHAPADA GAÚCHA/MG","Chapada Gaúcha","MG","Municipal",NA,"702447/2010","paralisada; sem endereço"
"1018701","Chapada Gaúcha - Chapada Gaúcha - MG","Chapada Gaúcha","MG","Municipal","rua herbert de sousa","34922/2014","atrasada"
"25180","PAC 2 - CRECHE/PRÉ-ESCOLA  001","Chapadinha","MA","Municipal","rua sebastião almeida","2727/2012","paralisada"
"1009107","RESIDENCIAL RENASCER","Chapadinha","MA","Municipal","rua bacuri","9838/2014","paralisada"
"1012706","VILA ISAMARA","Chapadinha","MA","Municipal","rua nova","8819/2014","paralisada"
"1012708","PAC 2 - CRECHE/PRÉ-ESCOLA MCMV  001","Chapadinha","MA","Municipal","rua projetada","8819/2014","paralisada"
"20157","CONSTRUÇÃO DE CRECHE","Chaval","CE","Municipal","rua sdo","1145/2011","atrasada"
"1009192","Arapixi","Chaves","PA","Municipal","vila arapixi","7572/2013","paralisada"
"1010013","Castro Alves - Chaves - PA","Chaves","PA","Municipal","rio jaranduba","23564/2014","paralisada"
"1010014","Cedro - Chaves - PA","Chaves","PA","Municipal","rio jurara","23564/2014","atrasada"
"1010016","Otacio de Paula - Chaves - PA","Chaves","PA","Municipal","rio jurupucu","23564/2014","paralisada"
"1010020","Nossa Senhora de Nazaré - Chaves - PA","Chaves","PA","Municipal","ilha ciriaca","23564/2014","paralisada"
"1010022","Coatá - Chaves - PA","Chaves","PA","Municipal","rio coatá","23564/2014","paralisada"
"1010023","Kaloal - Chaves - PA","Chaves","PA","Municipal","rio kaloal","23564/2014","paralisada"
"1010024","Nossa Senhora De Belem - Chaves - PA","Chaves","PA","Municipal","ilha nova","23564/2014","paralisada"
"1010025","Cajueiro - Chaves - PA","Chaves","PA","Municipal","rio cajueiro","23564/2014","paralisada"
"1010026","Apaiari - Chaves - PA","Chaves","PA","Municipal","rio apaiari","23564/2014","paralisada"
"1010028","Baculandia - Chaves - PA","Chaves","PA","Municipal","rio baculandia","23564/2014","paralisada"
"1010029","Santo Antonio - Chaves - PA","Chaves","PA","Municipal","capinal","23564/2014","paralisada"
"1010030","Martiniano Foro - Chaves - PA","Chaves","PA","Municipal","rio cururu","23564/2014","atrasada"
"1010031","Boa Esperança - Chaves - PA","Chaves","PA","Municipal","rio marajatuba","23564/2014","paralisada"
"1010035","Domingos Gusmão - Chaves - PA","Chaves","PA","Municipal","rio santa almas","23564/2014","paralisada"
"1010036","Professor Paulo Freire - Chaves - PA","Chaves","PA","Municipal","camarãotuba - arapixi","23564/2014","paralisada"
"1010038","Edgar Guamá - Chaves - PA","Chaves","PA","Municipal","rio curtisal- ilha mexiana","23564/2014","paralisada"
"1010040","Frei Faustino - Chaves - PA","Chaves","PA","Municipal","rio piratuba","23564/2014","paralisada"
"1010041","Felipe Dos Santos - Chaves - PA","Chaves","PA","Municipal","rio cururu","23564/2014","paralisada"
"1010042","Escola Ensino Fundamental - RURAL - Pedro Monteiro da Silva - Chaves - PA","Chaves","PA","Municipal","rio arrozal","23564/2014","paralisada"
"1010043","Celso Figueiredo - Chaves - PA","Chaves","PA","Municipal","rio jurara","23564/2014","atrasada"
"1014523","PAC 2 - CRECHE/PRÉ-ESCOLA  003","Chaves","PA","Municipal","avenida nazaré","11716/2014","atrasada"
"1010722","EEF COMUNIDADE TRIANGULO - Chorozinho - CE","Chorozinho","CE","Municipal","comunidade triangulo","22352/2014","atrasada"
"1015299","ESCOLA MUNICIPAL DE VÁRZEA da EMA - Chorrochó - BA","Chorrochó","BA","Municipal","povoado de várzea da ema","29984/2014","paralisada"
"1016001","ESCOLA MUNICIPAL FAVO DE MEL - Chorrochó - BA","Chorrochó","BA","Municipal","povoado de são josé","30128/2014","paralisada"
"1017635","ESCOLA MUNICIPAL BENTO FREIRE DE SOUZA - Chorrochó - BA","Chorrochó","BA","Municipal","povoado barra do tarrachil","31634/2014","paralisada"
"18306","ÁREA PUBLICA (PARQUE DAS AMÉRICAS","Cidade Ocidental","GO","Municipal","área publica","1036/2011","atrasada"
"19579","ÁREA PUBLICA (SQ-1)","Cidade Ocidental","GO","Municipal","quadra sq","1037/2011","atrasada"
"20129","UNIDADE DE EDUCAÇÃO INFANTIL DO BAIRRO DE VILA DAVI","Cidelândia","MA","Municipal","rua do campo","1426/2011","paralisada"
"1012575","Santos Dumont - Cipó - BA","Cipó","BA","Municipal","rua paulo souto","8728/2014","atrasada"
"1001592","Creche - Cláudia - MT","Cláudia","MT","Municipal","hermes da fonseca","5107/2013","atrasada"
"1018671","P.A. Zumbi dos Palmares - Cláudia - MT - Cláudia - MT","Cláudia","MT","Estadual","rua jatoba","46847/2014","atrasada"
"10954","658385 - CEEP Assis Brasil - Br Prof - Amp - Clevelândia/PR","Clevelândia","PR","Estadual","rua josé zilio","658385/2009","paralisada"
"25276","PAC 2 - CRECHE/PRÉ-ESCOLA  001","Clevelândia","PR","Municipal","rua major diogo ribeiro","4128/2013","paralisada"
"25386","PAC 2 - CRECHE/PRÉ-ESCOLA  006","Coari","AM","Municipal","rua rodolfo rodrigues","3209/2012","paralisada"
"25387","PAC 2 - CRECHE/PRÉ-ESCOLA  002","Coari","AM","Municipal","rua moreira rocha","3209/2012","paralisada"
"25389","PAC 2 - CRECHE/PRÉ-ESCOLA  004","Coari","AM","Municipal","rua de cinco setembro","3209/2012","paralisada"
"25390","PAC 2 - CRECHE/PRÉ-ESCOLA  007","Coari","AM","Municipal","rua maria abnader","3209/2012","paralisada"
"25391","PAC 2 - CRECHE/PRÉ-ESCOLA  001","Coari","AM","Municipal","estrada coari-itapéua","3209/2012","paralisada"
"1001863","PAC 2 - CRECHE/PRÉ-ESCOLA  003 - Cocal - PI","Cocal","PI","Municipal","rua perimetral leste","5745/2013","paralisada"
"29330","DISTRITO DE GIRASSOL","Cocalzinho de Goiás","GO","Estadual","rua nove c/ rua 05 e 04","7416/2014","paralisada"
"25547","PAC 2 - CRECHE/PRÉ-ESCOLA  001","Cocos","BA","Municipal","rua j.j. seabra, s/nº","2550/2012","paralisada"
"11727","700033 - Esc. Educ. Infantil   Tipo B  - Proinfância - Construção - CODAJÁS/AM","Codajás","AM","Municipal","rua de 15 novembro","700033/2010","paralisada"
"25144","PAC 2 - CRECHE/PRÉ-ESCOLA  003","Coelho Neto","MA","Municipal",NA,"2707/2012","atrasada; sem endereço"
"25145","PAC 2 - CRECHE/PRÉ-ESCOLA  002","Coelho Neto","MA","Municipal","rua dos flamboyants","2707/2012","atrasada"
"25146","PAC 2 - CRECHE/PRÉ-ESCOLA  004","Coelho Neto","MA","Municipal","travessa são braz","2707/2012","atrasada"
"25147","PAC 2 - CRECHE/PRÉ-ESCOLA  005","Coelho Neto","MA","Municipal",NA,"2707/2012","atrasada; sem endereço"
"25148","PAC 2 - CRECHE/PRÉ-ESCOLA  001","Coelho Neto","MA","Municipal",NA,"2707/2012","atrasada; sem endereço"
"31907","BAIRRO BONSUCESSO","Coelho Neto","MA","Municipal","rua almir melo","7473/2014","paralisada"
"1010429","BAIRRO BOA ESPERANÇA - Coelho Neto - MA","Coelho Neto","MA","Municipal","rua do variante","22534/2014","atrasada"
"1004627","PAC 2 - CRECHE/PRÉ-ESCOLA  001 - Coité do Nóia - AL","Coité do Nóia","AL","Municipal","rua projetada, s/n","7424/2013","paralisada"
"17637","700238/11 - Escola de Educação Infantil - Colares/PA","Colares","PA","Municipal","av. nossa senhora da conceição.","700238/2011","paralisada"
"1009787","Cacau - Colares - PA","Colares","PA","Municipal","comunidade quilombola do cacau","22306/2014","paralisada"
"1009788","Mocajatuba - Colares - PA","Colares","PA","Municipal","rua principal/francisco palheta","22306/2014","paralisada"
"25738","PAC 2 - CRECHE/PRÉ-ESCOLA  002","Colinas","MA","Municipal","br 135","2666/2012","paralisada"
"25739","PAC 2 - CRECHE/PRÉ-ESCOLA  003","Colinas","MA","Municipal","rua nova","2666/2012","paralisada"
"25740","PAC 2 - CRECHE/PRÉ-ESCOLA  001","Colinas","MA","Municipal","rua do campo","2666/2012","paralisada"
"18073","CENTRO DE EDUCAÇÃO INFANTIL","Colniza","MT","Municipal","rua dos girassois setor residencial b","136/2011","paralisada"
"24370","PAC 2 - CRECHE/PRÉ-ESCOLA  001","Colniza","MT","Municipal","rua f","2633/2012","paralisada"
"1081161","PAC 2 - CRECHE/PRÉ-ESCOLA  002","Colniza","MT","Municipal","rua jaru","2633/2012","paralisada"
"19767","CRECHE DO BAIRRO NOVA COLÔMBIA","Colômbia","SP","Municipal","rua rio branco","1296/2011","atrasada"
"1001654","PAC 2 - CRECHE/PRÉ-ESCOLA  004","Colombo","PR","Municipal","travessa farenheit","5102/2013","atrasada"
"1004648","CMEI EUCALIPTOS","Colombo","PR","Municipal","rua joão dagostin","6479/2013","atrasada"
"1004649","CMEI JD. PARANÁ","Colombo","PR","Municipal","rua florindo berlezi","6479/2013","atrasada"
"1015741","Escolinha Monteiro Lobato","Colônia do Piauí","PI","Municipal","rua projetada","9985/2014","atrasada"
