"id","nome","municipio","uf","avaliacao_observatorios","responsabilidade","atrasada","nao_iniciada","execucao","sem_end","status_segundo_tbrasil","status_segundo_simec"
"8235","710390 - E Educ Infantil Tipo C - Jd. Europa- Uberlândia/MG","Uberlândia","MG","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Planejamento pelo proponente"
"8236","710390 - E Educ Infantil Tipo B - Mansour - Uberlândia/MG","Uberlândia","MG","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Planejamento pelo proponente"
"8237","710390 - E Educ Infantil B - Jardim Botânico - Uberlândia/MG","Uberlândia","MG","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Planejamento pelo proponente"
"8238","710390 - E Educ Infantil Tipo C - Pacaembu - Uberlândia/MG","Uberlândia","MG","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Planejamento pelo proponente"
"8239","710390 - E Educ Infantil C - Jd. Sucupira - Uberlândia/MG","Uberlândia","MG","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Planejamento pelo proponente"
"8240","710390 - E Educ Infantil Tipo B - Planalto - Uberlândia/MG","Uberlândia","MG","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Planejamento pelo proponente"
"8241","710390 - E Educ Infantil Tipo C - Morumbi - Uberlândia/MG","Uberlândia","MG","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Planejamento pelo proponente"
"1001247","PAC 2 - CRECHE/PRÉ-ESCOLA 005","Uberlândia","MG","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"1001248","PAC 2 - CRECHE/PRÉ-ESCOLA 001","Uberlândia","MG","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"1002357","PAC 2 - CRECHE/PRÉ-ESCOLA MCMV 006","Uberlândia","MG","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"1002358","PAC 2 - CRECHE/PRÉ-ESCOLA MCMV 005","Uberlândia","MG","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"1002359","PAC 2 - CRECHE/PRÉ-ESCOLA MCMV 004","Uberlândia","MG","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"1002360","PAC 2 - CRECHE/PRÉ-ESCOLA 003","Uberlândia","MG","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"1002361","PAC 2 - CRECHE/PRÉ-ESCOLA MCMV 003","Uberlândia","MG","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"1002362","PAC 2 - CRECHE/PRÉ-ESCOLA MCMV 002","Uberlândia","MG","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"1002363","PAC 2 - CRECHE/PRÉ-ESCOLA 006","Uberlândia","MG","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"1002364","PAC 2 - CRECHE/PRÉ-ESCOLA MCMV 001","Uberlândia","MG","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Contratação"
"1002365","PAC 2 - CRECHE/PRÉ-ESCOLA 002","Uberlândia","MG","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"1004081","EMENDA PARLAMENTAR 27680005","Uberlândia","MG","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Planejamento pelo proponente"
