"","nome","responsabilidade","municipio","uf","logradouro","termo_convenio","data_de_entrega","pagamento_total","valor_pacutado","problema_encontrado"
"2877","NOVA PONTA BRACA - Pinheiro - MA","Municipal","Pinheiro","MA","rua da escola","22616/2014","2018-06-30","160722","1108279","paralisada / já devia ter sido entregue"
"2878","CUBA - Pinheiro - MA","Municipal","Pinheiro","MA","rua do porto","22616/2014",NA,"160723","1108280","paralisada"
"2879","BANDEIRA BRANCA - Pinheiro - MA","Municipal","Pinheiro","MA","rua projetada","22616/2014",NA,"244229","1221241","paralisada"
"2880","COTOVELO - Pinheiro - MA","Municipal","Pinheiro","MA","rua da escola","22616/2014",NA,"160723","1108280","paralisada"
"2881","ENGENHO DO LAGO - Porto Rico do Maranhão - MA","Municipal","Porto Rico do Maranhão","MA","rua da paz","22638/2014","2017-10-30","190113","1091979","paralisada / já devia ter sido entregue"
"2882","ESCOLA 6 SALAS - RIO GRANDE - Porto Rico do Maranhão - MA","Municipal","Porto Rico do Maranhão","MA","rua principal","22638/2014","2017-10-30","207898","1221565","paralisada / já devia ter sido entregue"
"2883","EM JOSÉ CARDOSO DE OLIVEIRA - Presidente Juscelino - MA","Municipal","Presidente Juscelino","MA","Não informado","22639/2014","2018-11-22","531801","1091979","em andamento / sem endereço"
"2884","ESCOLA MUNICIPAL AGOSTINHO RIBEIRO DA FONCESCA - Cafarnaum - BA","Municipal","Cafarnaum","BA","pov de lagoa de agostinho","19615/2014","2019-02-08","666685","1104032","paralisada"
"2885","RETIRO - Itapipoca - CE","Municipal","Itapipoca","CE","rua limeira","22413/2014",NA,"29920","291689","não iniciada"
"2886","E.M SÃO BENTO - Carolina - MA","Municipal","Carolina","MA","estrada vicinal 01","22531/2014","2017-08-08","607215","1221893","paralisada / já devia ter sido entregue"
"2887","E.M BACURI DO LAJES - Carolina - MA","Municipal","Carolina","MA","estrada vicinal 09","22531/2014","2017-08-08","144955","291689","paralisada / já devia ter sido entregue"
"2888","U.E. MARLANDE - Godofredo Viana - MA","Municipal","Godofredo Viana","MA","rua principal","22539/2014","2016-08-02","180336","1221031","paralisada / já devia ter sido entregue"
"2889","PRAIA DE SÃO JOSÉ - Godofredo Viana - MA","Municipal","Godofredo Viana","MA","rua principal","22539/2014","2016-08-03","161277","1091979","paralisada / já devia ter sido entregue"
"2890","E. M. DO POVOADO SAO ROQUE - Milagres do Maranhão - MA","Municipal","Milagres do Maranhão","MA","povoado sao roque","22599/2014","2019-08-20","484277","1221565","paralisada"
"2891","Barreiras - Santa Quitéria do Maranhão - MA","Municipal","Santa Quitéria do Maranhão","MA","pov. barreiras","22646/2014","2018-08-28","424317","1091979","em andamento / já devia ter sido entregue"
"2892","Boa União - Santa Quitéria do Maranhão - MA","Municipal","Santa Quitéria do Maranhão","MA","rua projetada - povoado boa união","22646/2014","2018-08-28","176924","1221565","em andamento / já devia ter sido entregue"
