"Usuário","ID da OBRA","Nome da Obra","Comentário","ID das Incongruências"
"TDP2018","5698","806021 - Espaço Educativo Urbano II - 06 salas -  - Construção - São Gabriel da Cachoeira/AM",NA,"8"
"TDP2018","5699","806021 - Espaço Educativo Urbano II - 06 salas -  - Construção - São Gabriel da Cachoeira/AM",NA,"8"
"TDP2018","5700","806021 - Espaço Educativo Urbano II - 06 salas -  - Construção - Borba/AM",NA,"8"
"TDP2018","5701","806021 - Espaço Educativo Urbano II - 06 salas -  - Construção - Barreirinha/AM",NA,"8"
"TDP2018","5702","806021 - Espaço Educativo Urbano II - 06 salas -  - Construção - Benjamin Constant/AM",NA,"9;7;8"
"TDP2018","5703","806021 - Espaço Educativo Urbano II - 06 salas - Construção - S Pde Olivença/AM",NA,"8"
"TDP2018","5704","806021 - Espaço Educativo Urbano II - 04 Salas  -  - Construção - Manicoré/AM",NA,"8"
"TDP2018","5705","806021 - Espaço Educativo Urbano II - 04 Salas  -  - Construção - Manicoré/AM",NA,"8"
"TDP2018","5706","806021 - Espaço Educativo Urbano II - 04 Salas  -  - Construção - Manicoré/AM",NA,"8"
"TDP2018","5707","806021 - Espaço Educativo Urbano II - 04 Salas  -  - Construção - Benjamin Constant/AM",NA,"9;7;8"
"TDP2018","5708","806021 - Espaço Educativo Urbano II - 04 Salas  -  - Construção - Atalaia do Norte/AM",NA,"8"
"TDP2018","5709","806021 - Espaço Educativo Urbano II - 04 Salas  -  - Construção - Atalaia do Norte/AM",NA,"9;7;8"
"TDP2018","5710","806021 - Espaço Educativo Urbano II - 04 Salas  -  - Construção - Atalaia do Norte/AM",NA,"9;7;8"
"TDP2018","5711","806021 - Espaço Educativo Urbano II - 04 Salas  -  - Construção - Atalaia do Norte/AM",NA,"9;7;8"
"TDP2018","5712","806021 - Espaço Educativo Urbano II - 04 Salas  -  - Construção - Atalaia do Norte/AM",NA,"9;7;8"
"TDP2018","5713","806021 - Espaço Educativo Urbano II - 06 salas -  - Construção - Atalaia do Norte/AM",NA,"9;7;8"
"TDP2018","5715","806021 - Espaço Educativo Urbano II - 06 salas -  - Construção - Amaturá/AM",NA,"8"
"TDP2018","5716","806021 - Espaço Educativo Urbano II - 04 Salas  -  - Construção - Tabatinga/AM",NA,"8"
"TDP2018","5717","806021 - Espaço Educativo Urbano II - 06 salas -  - Construção - Tabatinga/AM",NA,"9;7;8"
"TDP2018","5719","806021 - Espaço Educativo Urbano II - 04 Salas  -  - Construção - Jutaí/AM",NA,"8"
"TDP2018","5720","806021 - Espaço Educativo Urbano II - 04 Salas  -  - Construção - Parintins/AM",NA,"8"
"TDP2018","5721","806021 - Espaço Educativo Urbano II - 06 salas -  - Construção - Benjamin Constant/AM",NA,"8"
"TDP2018","5722","806021 - Espaço Educativo Urbano II - 04 Salas  -  - Construção - Humaitá/AM",NA,"8"
"TDP2018","5723","806021 - Espaço Educativo Urbano II - 04 Salas  -  - Construção - São Gabriel da Cachoeira/AM",NA,"8"
"TDP2018","5724","806021 - Espaço Educativo Urbano II - 06 salas -  - Construção - São Gabriel da Cachoeira/AM",NA,"8"
"TDP2018","5725","806027 - EEEF Amondawa - Construção - Mirante da Serra/RO",NA,"8"
"TDP2018","5726","700211 - Espaço Educ Urbano I - 12 Salas -Construção - Ji-Paraná/RO",NA,"8"
"TDP2018","5727","700211 - Espaço Educativo Urbano I - 12 Salas  -  - Construção - Porto Velho/RO",NA,"8"
"TDP2018","5731","806027 - EEEF Floresta Maia (Kawalaka Kaxarari) -  - Construção - Porto Velho/RO",NA,"8"
"TDP2018","5732","806027 - EEEF Josias Batista de Oliveira -  - Construção - Guajará-Mirim/RO",NA,"8"
