"id","nome","municipio","uf","responsabilidade","logradouro","ano_convenio","total_pago","cancelada","concluida","paralisada","nao_iniciada","execucao","atrasada","sem_end","status","situacao_segundo_tbrasil","status_segundo_simec","ano_fim_vigencia_convenio","termo_convenio","data_prevista_de_conclusao_da_obra","data_final_prevista_e_estimada","ano_data_final_prevista_e_estimada","tipo_do_projeto","projeto_obra_transparente"
"1009517","EMEF MONTEIRO LOBATO - Anapu - PA","Anapu","PA","Municipal","vicinal virola jatobá","2014","159574.2",0,0,0,0,1,1,0,"execucao","em andamento e já devia ter sido entregue","Execução","2018","22299/2014",2018-08-03,2018-08-03,"2018","Espaço Educativo - 02 Salas",0
"1009518","EMEF DRª ACY DE JESUS  PEREIRA","Anapu","PA","Municipal","rua tatajuba","2014","261196.94",0,0,0,0,1,1,0,"execucao","em andamento e já devia ter sido entregue","Execução","2018","22299/2014",2018-08-15,2018-08-15,"2018","Espaço Educativo - 04 Salas",0
"1009519","EMEF ALACID NUNES - Anapu - PA","Anapu","PA","Municipal","vicinal surubim","2014","70503.05",0,0,0,0,1,1,0,"execucao","em andamento e já devia ter sido entregue","Execução","2018","22299/2014",2018-08-23,2018-08-23,"2018","Espaço Educativo - 01 Sala",0
"1009520","EMEF NOSSA SENHORA DO AMPARO - Anapu - PA","Anapu","PA","Municipal","vicinal ii","2014","131562.32",0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","2018","22299/2014",2016-03-29,2016-03-29,"2016","Espaço Educativo - 01 Sala",0
"1009521","EMEF ESTRELA GUIA - Anapu - PA","Anapu","PA","Municipal","vicinal iii","2014","133024.62",0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","2018","22299/2014",2015-10-09,2015-10-09,"2015","Espaço Educativo - 01 Sala",0
"1009522","EMEF SANTA IZABEL - Anapu - PA","Anapu","PA","Municipal","pa 167","2014","99768.47",0,0,0,0,1,1,0,"execucao","em andamento e já devia ter sido entregue","Execução","2018","22299/2014",2018-08-23,2018-08-23,"2018","Espaço Educativo - 01 Sala",0
"1009523","EMEF CRISTO É A ESPERANÇA - Anapu - PA","Anapu","PA","Municipal","trav.vila catarina","2014","99768.47",0,0,0,0,1,1,0,"execucao","em andamento e já devia ter sido entregue","Execução","2018","22299/2014",2018-08-03,2018-08-03,"2018","Espaço Educativo - 01 Sala",0
"1009524","EMEF FONTE DA SABEDORIA - Anapu - PA","Anapu","PA","Municipal","vicinal pilão poente","2014","129033.89",0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","2018","22299/2014",2018-06-22,2018-06-22,"2018","Espaço Educativo - 01 Sala",0
"1009525","EMEF SANTO ANTONIO(AGROVILA) - Anapu - PA","Anapu","PA","Municipal","vicinal 0","2014","133024.63",0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","2018","22299/2014",2015-10-01,2015-10-01,"2015","Espaço Educativo - 01 Sala",0
"1009526","EMEF IRMÃ SERAFINA I - Anapu - PA","Anapu","PA","Municipal","br.230(transamazonica)","2014","99867.77",0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","2018","22299/2014",2016-08-23,2016-08-23,"2016","Espaço Educativo - 01 Sala",0
